"Conglomerado","Vivienda","HOGAR","ID_ADULTO","DIA","MES","HORA_INICIO","MIN_INICIO","HORA_FINAL","MIN_FINAL","701_ACTIVIDAD_FISICA_VIGOROSA_DIAS","702_ACTIVIDAD_FISICA_VIGOROSA_HORAS","702_ACTIVIDAD_FISICA_VIGOROSA_MINUTOS","703_ACTIVIDAD_FISICA_MODERADA_DIAS","704_ACTIVIDAD_FISICA_MODERADA_HORAS","704_ACTIVIDAD_FISICA_MODERADA_MINUTOS","705_CAMINAR_DIAS","706_CAMINAR_HORAS","706_CAMINAR_MINUTOS","707_SENTADO_HORAS","707_SENTADO_MINUTOS"
"006126","147","11","01","28","11","09","17","09","20","9","","","1","","30","4","","20","03",""
"006126","171","11","01","02","12","07","12","07","16","9","","","1","","20","7","","15","02",""
"006126","171","11","02","01","12","06","45","06","48","9","","","9","","","2","","30","05",""
"006126","171","11","03","29","11","15","45","15","50","9","","","3","","20","4","","30","03",""
"006126","171","11","04","01","12","11","13","11","17","9","","","9","","","9","","","05",""
"006128","076","11","02","19","10","09","27","09","37","9","","","4","","10","2","","20","","30"
"006128","092","11","02","21","10","19","19","19","21","9","","","9","","","2","","13","06",""
"006135","046","11","05","20","10","09","47","09","55","9","","","9","","","5","","13","04",""
"006135","046","11","10","16","10","08","56","09","07","9","","","4","","30","6","02","","04",""
"006135","142","11","01","19","10","07","02","07","06","9","","","3","","30","9","","","","40"
"006141","010","11","02","16","10","12","00","12","10","9","","","4","","40","5","","13","03",""
"006141","010","11","06","18","10","12","34","12","46","9","","","2","","15","9","","","06",""
"006141","050","11","03","17","10","12","55","12","58","9","","","9","","","9","","","06",""
"006148","063","11","01","16","10","16","11","16","23","9","","","9","","","6","","20","04",""
"006148","079","11","02","18","10","08","55","09","15","9","","","9","","","7","","30","03",""
"006149","024","11","02","17","10","08","54","09","14","9","","","3","","150","7","02","","03",""
"006149","067","13","01","18","10","10","44","10","55","9","","","1","","15","4","","15","03",""
"006149","122","11","04","16","10","10","50","10","58","9","","","4","02","","7","","30","03",""
"006156","094","11","02","15","12","14","00","14","55","9","","","4","02","","7","01","","","160"
"006166","083","11","02","13","12","15","30","15","40","9","","","2","03","","7","02","","","615"
"006172","054","11","01","13","12","08","35","08","45","9","","","7","12","","7","06","","","555"
"006172","159","11","03","15","12","10","27","10","49","9","","","3","","10","3","","10","","248"
"006174","020","11","02","16","12","09","35","09","39","9","","","9","","","7","02","","05",""
"006179","004","11","02","01","11","11","27","11","34","9","","","1","","10","7","01","","09",""
"006179","004","11","03","01","11","09","35","09","47","3","01","","4","03","","1","","20","05",""
"006179","159","11","01","05","11","10","14","10","22","9","","","7","","40","7","05","","07",""
"006179","159","11","02","01","11","18","00","18","11","6","","45","6","08","","7","","25","02",""
"006180","012","11","02","14","11","07","22","07","33","9","","","9","","","7","04","","06",""
"006184","092","11","01","19","11","08","40","08","42","2","01","","9","","","5","","30","03",""
"006184","092","11","03","16","11","09","50","09","55","2","05","","2","","40","7","","20","04",""
"006184","157","11","07","14","11","08","36","08","42","7","01","","2","","30","4","01","","07",""
"006195","218","11","01","14","12","15","40","15","47","9","","","9","","","7","","45","05",""
"006206","074","11","03","15","12","10","29","10","34","9","","","9","","","7","01","","03",""
"006213","115","11","02","13","12","08","05","08","10","1","","30","1","01","","7","02","","04",""
"006222","013","11","01","17","11","07","39","07","45","9","","","9","","","7","","40","04",""
"006222","013","11","02","19","11","08","12","08","17","3","01","","2","","90","3","","30","02",""
"006266","004","11","01","30","03","20","05","20","10","1","04","","3","08","","6","06","","03",""
"006266","102","11","02","28","03","17","58","18","10","9","","","9","","","7","03","","","150"
"006287","071","11","01","26","10","17","50","17","55","6","04","","6","02","","6","06","","02",""
"006287","073","11","02","27","10","07","01","07","15","9","","","5","02","","7","06","","03",""
"006292","065","11","02","22","11","07","51","08","03","3","","20","9","","","7","","40","","330"
"006292","103","11","01","22","11","06","27","06","30","9","","","7","02","","7","03","","03",""
"006292","103","11","02","22","11","09","07","09","12","9","","","2","","45","7","","30","03",""
"006292","105","11","08","21","11","08","18","08","23","9","","","9","","","3","","20","05",""
"006314","043","11","01","26","03","06","58","07","07","9","","","6","04","","9","","","","100"
"006314","043","11","03","22","03","18","24","18","36","1","","30","1","03","","5","","20","14",""
"006314","043","11","04","24","03","15","06","15","15","9","","","1","","20","1","01","","","1070"
"006314","199","11","04","21","03","11","30","11","35","6","08","","6","02","","6","04","","99","99"
"006322","022","11","02","14","03","13","31","13","36","9","","","7","","270","7","03","","04",""
"006322","186","11","02","13","03","15","07","15","13","9","","","3","03","","7","02","","","50"
"006335","088","11","01","15","11","13","15","13","31","3","03","","1","01","","2","01","","","75"
"006343","042","11","02","02","05","19","39","19","54","9","","","7","05","","7","05","","02",""
"006343","047","11","01","02","05","08","09","08","17","4","06","","7","03","","3","","25","03",""
"006352","170","11","02","06","12","05","45","06","00","9","","","2","01","","7","01","","03",""
"006352","342","11","01","05","12","06","51","06","58","6","07","","9","","","6","01","","","115"
"006352","351","11","02","05","12","08","28","08","37","6","02","","4","01","","7","04","","","200"
"006364","071","11","03","27","03","14","01","14","06","9","","","1","01","","7","01","","","220"
"006364","071","11","06","28","03","13","11","13","16","4","05","","6","06","","7","","20","","110"
"006396","014","11","01","05","03","11","33","11","43","9","","","1","","60","7","","60","","240"
"006396","015","11","02","09","03","17","33","17","44","9","","","3","02","","7","03","","06",""
"006403","102","11","02","03","03","10","35","10","45","9","","","9","","","3","","30","08",""
"006403","249","11","03","01","03","06","48","07","2","2","","30","6","06","","7","01","","05",""
"006403","249","11","04","28","02","18","50","19","2","9","","","9","","","5","","20","09",""
"006416","095","11","01","23","10","19","11","19","16","1","","10","7","","30","7","","100","","120"
"006416","206","11","02","24","10","15","13","15","25","1","","30","3","07","","3","","30","","50"
"006417","026","11","01","25","10","08","15","08","25","9","","","1","07","","9","","","","210"
"006421","004","11","04","12","03","18","56","19","07","5","","160","1","04","","9","","","05",""
"006421","012","11","01","14","03","07","30","07","40","6","07","","9","","","7","","20","03",""
"006421","037","11","02","14","03","17","07","17","22","7","","75","2","03","","7","","285","","45"
"006433","036","11","01","28","11","17","05","17","19","7","07","","9","","","7","04","","04",""
"006438","001","11","03","23","03","15","59","16","05","9","","","7","03","","3","04","","","120"
"006438","054","11","01","21","03","16","36","16","40","4","03","","5","06","","7","03","","","130"
"006438","054","11","02","25","03","07","27","07","30","9","","","7","09","","3","01","","02",""
"006438","064","11","01","24","03","16","46","16","52","9","","","7","02","","7","02","","05",""
"006448","027","11","01","28","02","15","43","15","48","3","06","","2","02","","7","02","","03",""
"006460","100","11","01","29","03","08","50","09","05","9","","","7","04","","7","","150","","310"
"006460","101","11","01","29","03","17","36","18","04","4","08","","4","","75","6","","15","04",""
"006460","104","11","02","28","03","13","20","13","28","1","03","","7","07","","9","","","04",""
"006483","072","11","01","27","02","07","13","07","25","9","","","1","07","","3","","25","","104"
"006483","072","11","02","01","03","13","36","13","40","9","","","9","","","7","01","","04",""
"006483","237","11","01","28","02","16","26","16","31","7","06","","9","","","7","01","","02",""
"006483","237","11","02","26","02","11","31","11","43","1","09","","2","03","","1","03","","01",""
"006518","072","11","02","03","05","18","15","18","21","4","","10","5","02","","9","","","","265"
"006540","016","11","02","01","03","18","04","18","19","9","","","7","","250","7","02","","","165"
"006563","035","11","01","08","11","14","29","14","44","1","","20","7","","80","9","","","05",""
"006566","017","11","01","09","11","10","26","10","33","9","","","5","01","","7","","20","","50"
"006567","013","11","04","07","11","14","50","14","58","9","","","9","","","6","01","","","200"
"006569","134","11","01","11","05","20","31","20","37","9","","","9","","","2","","30","","345"
"006569","134","11","02","11","05","19","32","19","42","9","","","9","","","2","","20","","175"
"006580","066","11","03","23","10","13","10","13","20","9","","","1","","30","7","","40","05",""
"006580","073","11","01","23","10","11","00","11","40","4","","130","2","08","","7","","20","","10"
"006580","073","11","02","23","10","12","16","12","20","9","","","7","02","","7","","10","01",""
"006581","082","11","04","07","03","20","03","20","10","3","","30","6","05","","4","01","","03",""
"006584","053","11","01","01","04","07","41","07","52","9","","","9","","","7","","20","17",""
"006595","005","11","02","08","11","15","53","15","59","9","","","3","01","","2","","40","01",""
